feature,importance,task,feature_set,model,fold
numeric__route_miss_delta,0.0,binary_attack,all,random_forest,4
numeric__reachable_fraction,0.0,binary_attack,all,random_forest,4
numeric__root_mean_rssi,0.0,binary_attack,all,random_forest,4
numeric__mean_neighbors,0.0,binary_attack,all,random_forest,4
numeric__client_mac_rx_delta,0.13475704998033228,binary_attack,all,random_forest,5
numeric__mean_rank,0.11836435880937253,binary_attack,all,random_forest,5
numeric__client_energest_listen_delta,0.10147344362388926,binary_attack,all,random_forest,5
numeric__mean_etx_x100,0.0902397321479057,binary_attack,all,random_forest,5
numeric__client_energest_tx_delta,0.08512743147351147,binary_attack,all,random_forest,5
numeric__client_radio_tx_fraction,0.0830343744689584,binary_attack,all,random_forest,5
numeric__root_mac_rx_delta,0.06447215515399822,binary_attack,all,random_forest,5
numeric__client_mac_ack_ratio,0.06084880233341967,binary_attack,all,random_forest,5
numeric__root_mean_etx_x100,0.05970236813900998,binary_attack,all,random_forest,5
numeric__p95_etx_x100,0.041987101138381715,binary_attack,all,random_forest,5
numeric__std_etx_x100,0.028848991862870054,binary_attack,all,random_forest,5
numeric__client_mac_tx_attempts_delta,0.024779407342882823,binary_attack,all,random_forest,5
numeric__client_mac_acked_delta,0.021721743628206083,binary_attack,all,random_forest,5
numeric__root_mac_tx_attempts_delta,0.021208937389809657,binary_attack,all,random_forest,5
numeric__root_mac_ack_ratio,0.019943545256793323,binary_attack,all,random_forest,5
numeric__root_energest_tx_delta,0.009922012055127152,binary_attack,all,random_forest,5
numeric__root_radio_tx_fraction,0.009674468040643328,binary_attack,all,random_forest,5
numeric__mean_rtt_ms,0.00676148108128208,binary_attack,all,random_forest,5
numeric__mean_rssi,0.00417389547310619,binary_attack,all,random_forest,5
numeric__max_rtt_ms,0.002654423467657364,binary_attack,all,random_forest,5
numeric__std_rtt_ms,0.0022974609470426443,binary_attack,all,random_forest,5
numeric__median_rtt_ms,0.0019352161651461073,binary_attack,all,random_forest,5
numeric__p95_rtt_ms,0.0017201881781121358,binary_attack,all,random_forest,5
numeric__app_rx_delta,0.0007482055715702553,binary_attack,all,random_forest,5
numeric__transaction_count,0.0006083317640035969,binary_attack,all,random_forest,5
numeric__uplink_success_count,0.0005075531001231517,binary_attack,all,random_forest,5
numeric__root_server_rx_delta,0.00045657673809924393,binary_attack,all,random_forest,5
numeric__app_tx_delta,0.00045296770044746487,binary_attack,all,random_forest,5
numeric__transaction_success_count,0.000398959504710674,binary_attack,all,random_forest,5
numeric__root_mac_acked_delta,0.00038976846603521067,binary_attack,all,random_forest,5
numeric__root_server_tx_delta,0.0003824230017745425,binary_attack,all,random_forest,5
numeric__client_energest_total_delta,0.0001989759281966072,binary_attack,all,random_forest,5
numeric__client_mac_valid_nodes,8.560028831790093e-05,binary_attack,all,random_forest,5
numeric__parent_changes_delta,6.768817965363471e-05,binary_attack,all,random_forest,5
numeric__client_mac_reset_nodes,3.89970572322109e-05,binary_attack,all,random_forest,5
numeric__app_timeouts_delta,1.5364542377310345e-05,binary_attack,all,random_forest,5
numeric__app_delivery_ratio,1.356332526478478e-16,binary_attack,all,random_forest,5
numeric__queue_drops_delta,5.120702011374447e-17,binary_attack,all,random_forest,5
numeric__uplink_delivery_ratio,3.110804105196658e-17,binary_attack,all,random_forest,5
numeric__route_miss_delta,0.0,binary_attack,all,random_forest,5
numeric__reachable_fraction,0.0,binary_attack,all,random_forest,5
numeric__root_mean_rssi,0.0,binary_attack,all,random_forest,5
numeric__mean_neighbors,0.0,binary_attack,all,random_forest,5
numeric__client_mac_rx_delta,0.16887691619624448,binary_attack,all,extra_trees,1
numeric__client_energest_tx_delta,0.09351491445582905,binary_attack,all,extra_trees,1
numeric__client_energest_listen_delta,0.0919273280010988,binary_attack,all,extra_trees,1
numeric__mean_rank,0.08097079935699002,binary_attack,all,extra_trees,1
numeric__client_radio_tx_fraction,0.07766948565229445,binary_attack,all,extra_trees,1
numeric__root_mac_rx_delta,0.07202149000307977,binary_attack,all,extra_trees,1
numeric__client_mac_ack_ratio,0.05617438923245879,binary_attack,all,extra_trees,1
numeric__mean_etx_x100,0.05461692976258548,binary_attack,all,extra_trees,1
numeric__p95_etx_x100,0.04490134128654275,binary_attack,all,extra_trees,1
numeric__client_mac_acked_delta,0.043201966708192666,binary_attack,all,extra_trees,1
numeric__client_mac_tx_attempts_delta,0.04038261731911804,binary_attack,all,extra_trees,1
numeric__root_mean_etx_x100,0.033939004713325144,binary_attack,all,extra_trees,1
numeric__std_etx_x100,0.02910858723454115,binary_attack,all,extra_trees,1
numeric__root_mac_ack_ratio,0.02862157237753803,binary_attack,all,extra_trees,1
numeric__root_mac_tx_attempts_delta,0.015425434305425624,binary_attack,all,extra_trees,1
numeric__mean_rssi,0.014733728376849161,binary_attack,all,extra_trees,1
numeric__root_energest_tx_delta,0.010988358508371904,binary_attack,all,extra_trees,1
numeric__root_radio_tx_fraction,0.010695797633160217,binary_attack,all,extra_trees,1
numeric__mean_rtt_ms,0.0085240424788652,binary_attack,all,extra_trees,1
numeric__p95_rtt_ms,0.0032771339754736864,binary_attack,all,extra_trees,1
numeric__median_rtt_ms,0.002862132893912255,binary_attack,all,extra_trees,1
numeric__std_rtt_ms,0.002524580586293507,binary_attack,all,extra_trees,1
numeric__max_rtt_ms,0.002517947532246459,binary_attack,all,extra_trees,1
numeric__app_tx_delta,0.001992137255856597,binary_attack,all,extra_trees,1
numeric__app_rx_delta,0.0015709135589000427,binary_attack,all,extra_trees,1
numeric__root_server_rx_delta,0.0013645689743420665,binary_attack,all,extra_trees,1
numeric__root_server_tx_delta,0.001319974115330176,binary_attack,all,extra_trees,1
numeric__root_mac_acked_delta,0.0012852571309506665,binary_attack,all,extra_trees,1
numeric__transaction_success_count,0.0011826835617373918,binary_attack,all,extra_trees,1
numeric__uplink_success_count,0.0011057658639482702,binary_attack,all,extra_trees,1
numeric__transaction_count,0.0010353432706085726,binary_attack,all,extra_trees,1
numeric__client_energest_total_delta,0.0007160946701560425,binary_attack,all,extra_trees,1
numeric__client_mac_reset_nodes,0.00020213083344408056,binary_attack,all,extra_trees,1
numeric__app_timeouts_delta,0.00019992270224200104,binary_attack,all,extra_trees,1
numeric__parent_changes_delta,0.00017256636671090546,binary_attack,all,extra_trees,1
numeric__app_delivery_ratio,0.00015612871167917025,binary_attack,all,extra_trees,1
numeric__client_mac_valid_nodes,0.00012318727387335512,binary_attack,all,extra_trees,1
numeric__queue_drops_delta,4.850082153326394e-05,binary_attack,all,extra_trees,1
numeric__uplink_delivery_ratio,4.832629825091692e-05,binary_attack,all,extra_trees,1
numeric__route_miss_delta,0.0,binary_attack,all,extra_trees,1
numeric__reachable_fraction,0.0,binary_attack,all,extra_trees,1
numeric__root_mean_rssi,0.0,binary_attack,all,extra_trees,1
numeric__mean_neighbors,0.0,binary_attack,all,extra_trees,1
numeric__client_mac_rx_delta,0.1789561721622733,binary_attack,all,extra_trees,2
numeric__client_energest_tx_delta,0.09109797808714565,binary_attack,all,extra_trees,2
numeric__client_radio_tx_fraction,0.08495873192913381,binary_attack,all,extra_trees,2
numeric__client_energest_listen_delta,0.08190121755762045,binary_attack,all,extra_trees,2
numeric__mean_rank,0.07106004965087707,binary_attack,all,extra_trees,2
numeric__root_mac_rx_delta,0.0670149018501367,binary_attack,all,extra_trees,2
numeric__mean_etx_x100,0.06308347844515473,binary_attack,all,extra_trees,2
numeric__client_mac_ack_ratio,0.05216952782427503,binary_attack,all,extra_trees,2
numeric__client_mac_acked_delta,0.04883024327024604,binary_attack,all,extra_trees,2
numeric__p95_etx_x100,0.044370539011112126,binary_attack,all,extra_trees,2
numeric__client_mac_tx_attempts_delta,0.038055311565872815,binary_attack,all,extra_trees,2
numeric__root_mac_ack_ratio,0.035653447034459704,binary_attack,all,extra_trees,2
numeric__root_mean_etx_x100,0.034617332709203696,binary_attack,all,extra_trees,2
numeric__std_etx_x100,0.029710128975803222,binary_attack,all,extra_trees,2
numeric__root_mac_tx_attempts_delta,0.016742997447683268,binary_attack,all,extra_trees,2
numeric__root_energest_tx_delta,0.011584177626208182,binary_attack,all,extra_trees,2
numeric__root_radio_tx_fraction,0.01119034645236455,binary_attack,all,extra_trees,2
numeric__mean_rtt_ms,0.008077849075322833,binary_attack,all,extra_trees,2
numeric__mean_rssi,0.007530812336151319,binary_attack,all,extra_trees,2
numeric__p95_rtt_ms,0.0035269735173446637,binary_attack,all,extra_trees,2
numeric__std_rtt_ms,0.002900356531712223,binary_attack,all,extra_trees,2
numeric__median_rtt_ms,0.0025698573527406,binary_attack,all,extra_trees,2
numeric__max_rtt_ms,0.0023900184181060097,binary_attack,all,extra_trees,2
numeric__app_tx_delta,0.0016447605698763385,binary_attack,all,extra_trees,2
numeric__app_rx_delta,0.0016281490967276152,binary_attack,all,extra_trees,2
numeric__root_server_tx_delta,0.001294003770592712,binary_attack,all,extra_trees,2
numeric__root_mac_acked_delta,0.0012683424984205856,binary_attack,all,extra_trees,2
numeric__root_server_rx_delta,0.0011906671200905947,binary_attack,all,extra_trees,2
numeric__transaction_success_count,0.001179315817652786,binary_attack,all,extra_trees,2
numeric__uplink_success_count,0.0011790402952579437,binary_attack,all,extra_trees,2
numeric__transaction_count,0.0010535319464112904,binary_attack,all,extra_trees,2
numeric__client_energest_total_delta,0.0005798183765496423,binary_attack,all,extra_trees,2
numeric__client_mac_reset_nodes,0.000363735975232298,binary_attack,all,extra_trees,2
numeric__client_mac_valid_nodes,0.00026224557169930463,binary_attack,all,extra_trees,2
numeric__parent_changes_delta,0.0002167015668304589,binary_attack,all,extra_trees,2
numeric__app_timeouts_delta,7.569690279156017e-05,binary_attack,all,extra_trees,2
numeric__app_delivery_ratio,4.5974027105480435e-05,binary_attack,all,extra_trees,2
numeric__queue_drops_delta,1.4587912365270849e-05,binary_attack,all,extra_trees,2
numeric__uplink_delivery_ratio,1.0979721448177259e-05,binary_attack,all,extra_trees,2
numeric__route_miss_delta,0.0,binary_attack,all,extra_trees,2
numeric__reachable_fraction,0.0,binary_attack,all,extra_trees,2
numeric__root_mean_rssi,0.0,binary_attack,all,extra_trees,2
numeric__mean_neighbors,0.0,binary_attack,all,extra_trees,2
numeric__client_mac_rx_delta,0.1628567092258924,binary_attack,all,extra_trees,3
numeric__client_energest_tx_delta,0.09283053613306769,binary_attack,all,extra_trees,3
numeric__client_radio_tx_fraction,0.08632246322673377,binary_attack,all,extra_trees,3
numeric__client_energest_listen_delta,0.08578066035844442,binary_attack,all,extra_trees,3
numeric__mean_rank,0.07088584212197377,binary_attack,all,extra_trees,3
numeric__root_mac_rx_delta,0.07067610073976346,binary_attack,all,extra_trees,3
numeric__mean_etx_x100,0.05880917376331975,binary_attack,all,extra_trees,3
numeric__client_mac_ack_ratio,0.05669907022206457,binary_attack,all,extra_trees,3
numeric__p95_etx_x100,0.046339656623650444,binary_attack,all,extra_trees,3
numeric__client_mac_acked_delta,0.043525615544835375,binary_attack,all,extra_trees,3
numeric__root_mean_etx_x100,0.04100068480746998,binary_attack,all,extra_trees,3
numeric__client_mac_tx_attempts_delta,0.03897575903886402,binary_attack,all,extra_trees,3
numeric__root_mac_ack_ratio,0.030874016668462553,binary_attack,all,extra_trees,3
numeric__std_etx_x100,0.029563503537828106,binary_attack,all,extra_trees,3
numeric__root_mac_tx_attempts_delta,0.017160438482330297,binary_attack,all,extra_trees,3
numeric__root_radio_tx_fraction,0.012188821758626367,binary_attack,all,extra_trees,3
numeric__root_energest_tx_delta,0.011849283667242576,binary_attack,all,extra_trees,3
numeric__mean_rssi,0.009911764236328417,binary_attack,all,extra_trees,3
numeric__mean_rtt_ms,0.008427089468842497,binary_attack,all,extra_trees,3
numeric__p95_rtt_ms,0.003744662360093988,binary_attack,all,extra_trees,3
numeric__median_rtt_ms,0.0033398235957439325,binary_attack,all,extra_trees,3
numeric__std_rtt_ms,0.0032496966170196184,binary_attack,all,extra_trees,3
numeric__max_rtt_ms,0.0028281864197457138,binary_attack,all,extra_trees,3
numeric__app_rx_delta,0.001660883488225042,binary_attack,all,extra_trees,3
numeric__app_tx_delta,0.0016605655020076955,binary_attack,all,extra_trees,3
numeric__root_server_rx_delta,0.001465261678766422,binary_attack,all,extra_trees,3
numeric__root_mac_acked_delta,0.0013689898190239747,binary_attack,all,extra_trees,3
numeric__root_server_tx_delta,0.0012401039102960902,binary_attack,all,extra_trees,3
numeric__uplink_success_count,0.001179528165514493,binary_attack,all,extra_trees,3
numeric__transaction_success_count,0.001168925691277743,binary_attack,all,extra_trees,3
numeric__transaction_count,0.0010218104716578687,binary_attack,all,extra_trees,3
numeric__client_energest_total_delta,0.0005273859479087345,binary_attack,all,extra_trees,3
numeric__client_mac_reset_nodes,0.00031002909773378,binary_attack,all,extra_trees,3
numeric__client_mac_valid_nodes,0.0002241771151583653,binary_attack,all,extra_trees,3
numeric__parent_changes_delta,0.0001242419006988526,binary_attack,all,extra_trees,3
numeric__app_timeouts_delta,9.536248946296332e-05,binary_attack,all,extra_trees,3
numeric__app_delivery_ratio,6.61949075855662e-05,binary_attack,all,extra_trees,3
numeric__queue_drops_delta,2.434958148713347e-05,binary_attack,all,extra_trees,3
