timestamp_utc,status,run_id,scenario,class_label,impairment_level,tx_success,rx_success,seed,duration_s,warmup_s,analysis_s,source_csc,output_log,boot_count,final_metric_count,complete_marker,fallback_marker,test_ok,output_log_sha256
2026-07-18T16:01:00+00:00,completed,RX75_seed1005_600s,RX75,impairment,moderate,1.0,0.75,1005,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1005.log,16,16,True,False,True,4605adc78e54db4e0c4cd773f11878b3007a4c5a9e85f9688d8861a93b8addfe
2026-07-18T16:01:08+00:00,completed,RX75_seed1006_600s,RX75,impairment,moderate,1.0,0.75,1006,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1006.log,16,16,True,False,True,525151de1c3a94347f7007675f55c086643016ad5387a6bd12edec9b8148f767
2026-07-18T16:01:16+00:00,completed,RX75_seed1007_600s,RX75,impairment,moderate,1.0,0.75,1007,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1007.log,16,16,True,False,True,7fd58812eb7eeb46ec360c6594c5cae6f6e77f81e50667974a0dd40a58980708
2026-07-18T16:01:24+00:00,completed,RX75_seed1008_600s,RX75,impairment,moderate,1.0,0.75,1008,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1008.log,16,16,True,False,True,a4d03faf24e833fdb332ea02280890547ff50d501289faea4bb844ba09062423
2026-07-18T16:01:32+00:00,completed,RX75_seed1009_600s,RX75,impairment,moderate,1.0,0.75,1009,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1009.log,16,16,True,False,True,87b1560cdf74710bb9b36ef2f0f58e226d666d0836e8b6625ce93ad8ee786a82
2026-07-18T16:01:40+00:00,completed,RX75_seed1010_600s,RX75,impairment,moderate,1.0,0.75,1010,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX75_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX75/AirGuard_RX75_N16_600s_seed1010.log,16,16,True,False,True,ed85eaa22ca2ec6c515a035fc22b05c6d0554f8e84e4233cc41e2f9ede392894
2026-07-18T16:01:49+00:00,completed,RX60_seed1001_600s,RX60,impairment,heavy,1.0,0.6,1001,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1001.log,16,16,True,False,True,9bc2aa5faf965be3e9cc676f075331eb2456b6dacac1dca01d3261e08c187c46
2026-07-18T16:01:58+00:00,completed,RX60_seed1002_600s,RX60,impairment,heavy,1.0,0.6,1002,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1002.log,16,16,True,False,True,e70312ef6a24a9af8633f8400abc1d0bc77f69c98e7c57cd9f15dac392ffece6
2026-07-18T16:02:07+00:00,completed,RX60_seed1003_600s,RX60,impairment,heavy,1.0,0.6,1003,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1003.log,16,16,True,False,True,660e985dbd60f10b5baff8a916b086ab3d7962751fd1a2092e7c6e1cd1bb0c19
2026-07-18T16:02:15+00:00,completed,RX60_seed1004_600s,RX60,impairment,heavy,1.0,0.6,1004,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1004.log,16,16,True,False,True,a03b81f3eebf79d1adcd634f2aa02ac8157c76e69529aec436ca5805812005ec
2026-07-18T16:02:24+00:00,completed,RX60_seed1005_600s,RX60,impairment,heavy,1.0,0.6,1005,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1005.log,16,16,True,False,True,3946d8e5592827d424666a9f61f5b7a21f7771885a419a16546f68c8aa7474ad
2026-07-18T16:02:33+00:00,completed,RX60_seed1006_600s,RX60,impairment,heavy,1.0,0.6,1006,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1006.log,16,16,True,False,True,a7a04ec38c8715fc6aac5a16867124c5541acf33ec64a4a13c184edf5fa66cad
2026-07-18T16:02:42+00:00,completed,RX60_seed1007_600s,RX60,impairment,heavy,1.0,0.6,1007,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1007.log,16,16,True,False,True,13ab8bc9a5883dd243bcf74dfdcf577f56e6eea8184722567d5939b3a1308b35
2026-07-18T16:02:50+00:00,completed,RX60_seed1008_600s,RX60,impairment,heavy,1.0,0.6,1008,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1008.log,16,16,True,False,True,12809c80e38fc66a7f105a1b67113f41429b15c95ccf6e2f560870051f2c50e5
2026-07-18T16:02:59+00:00,completed,RX60_seed1009_600s,RX60,impairment,heavy,1.0,0.6,1009,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1009.log,16,16,True,False,True,97fe55334104eb024ef8126b33714b0df74736cd291624a47def5573f3767819
2026-07-18T16:03:08+00:00,completed,RX60_seed1010_600s,RX60,impairment,heavy,1.0,0.6,1010,600,120,480,/home/ubuntu/AirGuard-6LoWPAN/simulations/impairment/AirGuard_Impairment_RX60_CrossLayer.csc,/home/ubuntu/AirGuard-6LoWPAN/raw-data/mote-logs/cross-layer-v1_1/final-600s/RX60/AirGuard_RX60_N16_600s_seed1010.log,16,16,True,False,True,28a253daa54e0d749ae77dca2e3bf7842bd043115715094628a79aaa5dff8446
