task,feature_set,model,configuration,seed,rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc
attack_subtype,radio,extra_trees,attack_subtype__radio__extra_trees,1006,102,0.7647058823529411,0.7647058823529411,0.7638888888888888,0.7638888888888888,0.6485566468843293
attack_subtype,radio,extra_trees,attack_subtype__radio__extra_trees,1007,102,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.5588235294117647
attack_subtype,radio,extra_trees,attack_subtype__radio__extra_trees,1008,102,0.7156862745098039,0.7156862745098039,0.7151318165402673,0.7151318165402674,0.5742750624524164
attack_subtype,radio,extra_trees,attack_subtype__radio__extra_trees,1009,102,0.7941176470588235,0.7941176470588235,0.7929984779299848,0.7929984779299848,0.6936812858953268
attack_subtype,radio,extra_trees,attack_subtype__radio__extra_trees,1010,102,0.7156862745098039,0.7156862745098039,0.7126411657559198,0.7126411657559198,0.5776246100315224
attack_subtype,routing,extra_trees,attack_subtype__routing__extra_trees,1001,102,0.3627450980392157,0.3627450980392157,0.3424362528840141,0.3424362528840141,0.04431615986321267
attack_subtype,routing,extra_trees,attack_subtype__routing__extra_trees,1002,102,0.38235294117647056,0.38235294117647056,0.3853710853710854,0.3853710853710854,0.07408694809627496
attack_subtype,routing,extra_trees,attack_subtype__routing__extra_trees,1003,102,0.5294117647058824,0.5294117647058824,0.4826830517153098,0.48268305171530973,0.3396831102433787
attack_subtype,routing,extra_trees,attack_subtype__routing__extra_trees,1004,102,0.49019607843137253,0.4901960784313726,0.4955982905982906,0.49559829059829064,0.23655942469212138
attack_subtype,routing,extra_trees,attack_subtype__routing__extra_trees,1005,102,0.5686274509803921,0.5686274509803921,0.54054937073805,0.54054937073805,0.361978186444057
attack_subtype,routing,extra_trees,attack_subtype__routing__extra_trees,1006,102,0.37254901960784315,0.37254901960784315,0.3624690788869893,0.3624690788869893,0.059088213150950225
attack_subtype,routing,extra_trees,attack_subtype__routing__extra_trees,1007,102,0.6764705882352942,0.676470588235294,0.6571463742215715,0.6571463742215715,0.5282053682265857
attack_subtype,routing,extra_trees,attack_subtype__routing__extra_trees,1008,102,0.4215686274509804,0.4215686274509804,0.3155884995507637,0.3155884995507637,0.17574013722315981
attack_subtype,routing,extra_trees,attack_subtype__routing__extra_trees,1009,102,0.5,0.5,0.4818085528928903,0.4818085528928902,0.257104006708034
attack_subtype,routing,extra_trees,attack_subtype__routing__extra_trees,1010,102,0.4803921568627451,0.4803921568627451,0.4673192336923762,0.46731923369237627,0.22494377108496477
binary_attack,all,extra_trees,binary_attack__all__extra_trees,1001,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,extra_trees,binary_attack__all__extra_trees,1002,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,extra_trees,binary_attack__all__extra_trees,1003,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,extra_trees,binary_attack__all__extra_trees,1004,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,extra_trees,binary_attack__all__extra_trees,1005,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,extra_trees,binary_attack__all__extra_trees,1006,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,extra_trees,binary_attack__all__extra_trees,1007,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,extra_trees,binary_attack__all__extra_trees,1008,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,extra_trees,binary_attack__all__extra_trees,1009,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,extra_trees,binary_attack__all__extra_trees,1010,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,logistic,binary_attack__all__logistic,1001,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,logistic,binary_attack__all__logistic,1002,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,logistic,binary_attack__all__logistic,1003,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,logistic,binary_attack__all__logistic,1004,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,logistic,binary_attack__all__logistic,1005,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,logistic,binary_attack__all__logistic,1006,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,logistic,binary_attack__all__logistic,1007,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,logistic,binary_attack__all__logistic,1008,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,logistic,binary_attack__all__logistic,1009,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,logistic,binary_attack__all__logistic,1010,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,random_forest,binary_attack__all__random_forest,1001,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,random_forest,binary_attack__all__random_forest,1002,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,random_forest,binary_attack__all__random_forest,1003,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,random_forest,binary_attack__all__random_forest,1004,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,random_forest,binary_attack__all__random_forest,1005,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,random_forest,binary_attack__all__random_forest,1006,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,random_forest,binary_attack__all__random_forest,1007,238,0.9957983193277311,0.9963235294117647,0.9957159571595716,0.9958008151510086,0.9914684607882714
binary_attack,all,random_forest,binary_attack__all__random_forest,1008,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,random_forest,binary_attack__all__random_forest,1009,238,1.0,1.0,1.0,1.0,1.0
binary_attack,all,random_forest,binary_attack__all__random_forest,1010,238,0.9957983193277311,0.9950980392156863,0.995705443981306,0.9957956657464047,0.9914476132553266
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,1001,238,0.6680672268907563,0.6531862745098039,0.6545972260494167,0.6643414819771942,0.3133511208176515
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,1002,238,0.6302521008403361,0.6139705882352942,0.6145748987854251,0.6256795835743203,0.2336712920477668
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,1003,238,0.6050420168067226,0.5919117647058824,0.5923469387755103,0.6026239067055393,0.18609104192981676
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,1004,238,0.6764705882352942,0.670343137254902,0.6701287012870129,0.6766627666276662,0.34028176802362897
binary_attack,application_qos,extra_trees,binary_attack__application_qos__extra_trees,1005,238,0.6638655462184874,0.6605392156862745,0.6591478696741855,0.664876476906552,0.3191516681367245
