task,feature_set,model,configuration,metric,point_estimate,ci_low_95,ci_high_95,bootstrap_iterations,cluster_unit,seed_count
cause_family,radio,extra_trees,cause_family__radio__extra_trees,macro_f1,0.860269789523976,0.8451536087802481,0.8756388929681718,5000,seed,10
cause_family,radio,extra_trees,cause_family__radio__extra_trees,weighted_f1,0.8821006803966147,0.8692599044086445,0.8946656940121487,5000,seed,10
cause_family,radio,extra_trees,cause_family__radio__extra_trees,mcc,0.8077552249123161,0.7870746611945266,0.8283064592279968,5000,seed,10
cause_family,routing,extra_trees,cause_family__routing__extra_trees,accuracy,0.8441176470588235,0.8344537815126051,0.8533613445378151,5000,seed,10
cause_family,routing,extra_trees,cause_family__routing__extra_trees,balanced_accuracy,0.695751633986928,0.6741830065359476,0.7166666666666667,5000,seed,10
cause_family,routing,extra_trees,cause_family__routing__extra_trees,macro_f1,0.6930535826201529,0.6608414480100807,0.7215438398145118,5000,seed,10
cause_family,routing,extra_trees,cause_family__routing__extra_trees,weighted_f1,0.818736161379618,0.8042453411080784,0.8318645616718572,5000,seed,10
cause_family,routing,extra_trees,cause_family__routing__extra_trees,mcc,0.7449808938778605,0.7282544582896733,0.761294091786304,5000,seed,10
impairment_severity,all,extra_trees,impairment_severity__all__extra_trees,accuracy,0.9801470588235294,0.9661764705882353,0.9904411764705883,5000,seed,10
impairment_severity,all,extra_trees,impairment_severity__all__extra_trees,balanced_accuracy,0.9801470588235295,0.9661764705882353,0.9904411764705883,5000,seed,10
impairment_severity,all,extra_trees,impairment_severity__all__extra_trees,macro_f1,0.9801997332663264,0.966265557406523,0.9904409776887235,5000,seed,10
impairment_severity,all,extra_trees,impairment_severity__all__extra_trees,weighted_f1,0.9801997332663264,0.9662655574065231,0.9904409776887235,5000,seed,10
impairment_severity,all,extra_trees,impairment_severity__all__extra_trees,mcc,0.9735680127611377,0.9553841823441408,0.987281306680153,5000,seed,10
impairment_severity,all,logistic,impairment_severity__all__logistic,accuracy,0.9720588235294118,0.9558823529411765,0.9830882352941176,5000,seed,10
impairment_severity,all,logistic,impairment_severity__all__logistic,balanced_accuracy,0.9720588235294119,0.9558823529411765,0.9830882352941177,5000,seed,10
impairment_severity,all,logistic,impairment_severity__all__logistic,macro_f1,0.972022863969465,0.9556109720319305,0.9831050625702048,5000,seed,10
impairment_severity,all,logistic,impairment_severity__all__logistic,weighted_f1,0.972022863969465,0.9556109720319306,0.9831050625702047,5000,seed,10
impairment_severity,all,logistic,impairment_severity__all__logistic,mcc,0.9627680015296731,0.9415829350286725,0.9775165167846059,5000,seed,10
impairment_severity,all,random_forest,impairment_severity__all__random_forest,accuracy,0.9764705882352941,0.9602941176470589,0.9897058823529412,5000,seed,10
impairment_severity,all,random_forest,impairment_severity__all__random_forest,balanced_accuracy,0.9764705882352942,0.9602941176470589,0.9897058823529412,5000,seed,10
impairment_severity,all,random_forest,impairment_severity__all__random_forest,macro_f1,0.9765211796515104,0.9603747130244822,0.9897049846911437,5000,seed,10
impairment_severity,all,random_forest,impairment_severity__all__random_forest,weighted_f1,0.9765211796515103,0.9603747130244821,0.9897049846911438,5000,seed,10
impairment_severity,all,random_forest,impairment_severity__all__random_forest,mcc,0.9686602709083146,0.9477008159566044,0.9863045146231922,5000,seed,10
impairment_severity,application_qos,extra_trees,impairment_severity__application_qos__extra_trees,accuracy,0.5375,0.5044117647058823,0.5794117647058824,5000,seed,10
impairment_severity,application_qos,extra_trees,impairment_severity__application_qos__extra_trees,balanced_accuracy,0.5375,0.5044117647058823,0.5794117647058823,5000,seed,10
impairment_severity,application_qos,extra_trees,impairment_severity__application_qos__extra_trees,macro_f1,0.5341385079165628,0.5009795399810223,0.5750902539331726,5000,seed,10
impairment_severity,application_qos,extra_trees,impairment_severity__application_qos__extra_trees,weighted_f1,0.5341385079165628,0.5009795399810223,0.5750902539331725,5000,seed,10
impairment_severity,application_qos,extra_trees,impairment_severity__application_qos__extra_trees,mcc,0.3835656666447047,0.3394645089029468,0.43953635405050095,5000,seed,10
impairment_severity,mac,extra_trees,impairment_severity__mac__extra_trees,accuracy,0.7492647058823529,0.7272058823529411,0.7669301470588233,5000,seed,10
impairment_severity,mac,extra_trees,impairment_severity__mac__extra_trees,balanced_accuracy,0.7492647058823529,0.7272058823529411,0.7669301470588233,5000,seed,10
impairment_severity,mac,extra_trees,impairment_severity__mac__extra_trees,macro_f1,0.748980574941872,0.7276356719883514,0.7664878137300587,5000,seed,10
impairment_severity,mac,extra_trees,impairment_severity__mac__extra_trees,weighted_f1,0.7489805749418719,0.7276356719883514,0.7664878137300587,5000,seed,10
impairment_severity,mac,extra_trees,impairment_severity__mac__extra_trees,mcc,0.6657856314229473,0.6363019747717771,0.6903909502709501,5000,seed,10
impairment_severity,radio,extra_trees,impairment_severity__radio__extra_trees,accuracy,0.6867647058823529,0.6551470588235294,0.7169117647058824,5000,seed,10
impairment_severity,radio,extra_trees,impairment_severity__radio__extra_trees,balanced_accuracy,0.6867647058823529,0.6551470588235295,0.7169117647058824,5000,seed,10
impairment_severity,radio,extra_trees,impairment_severity__radio__extra_trees,macro_f1,0.6861712749353459,0.6558606407792099,0.7157093166313333,5000,seed,10
impairment_severity,radio,extra_trees,impairment_severity__radio__extra_trees,weighted_f1,0.686171274935346,0.6558606407792098,0.7157093166313333,5000,seed,10
impairment_severity,radio,extra_trees,impairment_severity__radio__extra_trees,mcc,0.5824944669011878,0.5411353003175402,0.6226995281011151,5000,seed,10
impairment_severity,routing,extra_trees,impairment_severity__routing__extra_trees,accuracy,0.9852941176470589,0.9713235294117647,0.9963235294117647,5000,seed,10
impairment_severity,routing,extra_trees,impairment_severity__routing__extra_trees,balanced_accuracy,0.9852941176470589,0.9713235294117647,0.9963235294117647,5000,seed,10
impairment_severity,routing,extra_trees,impairment_severity__routing__extra_trees,macro_f1,0.9853411748183473,0.9714600093101899,0.9963234578527697,5000,seed,10
impairment_severity,routing,extra_trees,impairment_severity__routing__extra_trees,weighted_f1,0.9853411748183473,0.9714600093101898,0.9963234578527695,5000,seed,10
impairment_severity,routing,extra_trees,impairment_severity__routing__extra_trees,mcc,0.9804437530833958,0.9622705303042567,0.9951159732724262,5000,seed,10
seven_class,all,extra_trees,seven_class__all__extra_trees,accuracy,0.9852941176470589,0.9764705882352941,0.992436974789916,5000,seed,10
seven_class,all,extra_trees,seven_class__all__extra_trees,balanced_accuracy,0.9852941176470589,0.9764705882352942,0.992436974789916,5000,seed,10
seven_class,all,extra_trees,seven_class__all__extra_trees,macro_f1,0.9853242045516065,0.97653843006763,0.9924368735627014,5000,seed,10
seven_class,all,extra_trees,seven_class__all__extra_trees,weighted_f1,0.9853242045516066,0.97653843006763,0.9924368735627014,5000,seed,10
seven_class,all,extra_trees,seven_class__all__extra_trees,mcc,0.9828554857804549,0.9727056704507266,0.991184299734199,5000,seed,10
seven_class,all,logistic,seven_class__all__logistic,accuracy,0.9815126050420168,0.9663865546218487,0.9928571428571429,5000,seed,10
seven_class,all,logistic,seven_class__all__logistic,balanced_accuracy,0.9815126050420169,0.9663865546218489,0.9928571428571429,5000,seed,10
seven_class,all,logistic,seven_class__all__logistic,macro_f1,0.9815018401935475,0.9663283271431579,0.9928569929218879,5000,seed,10
seven_class,all,logistic,seven_class__all__logistic,weighted_f1,0.9815018401935475,0.9663283271431579,0.9928569929218879,5000,seed,10
seven_class,all,logistic,seven_class__all__logistic,mcc,0.9784855865700229,0.9612634910775896,0.9916709559101811,5000,seed,10
seven_class,all,random_forest,seven_class__all__random_forest,accuracy,0.9773109243697479,0.9630252100840336,0.988655462184874,5000,seed,10
seven_class,all,random_forest,seven_class__all__random_forest,balanced_accuracy,0.977310924369748,0.9630252100840336,0.988655462184874,5000,seed,10
seven_class,all,random_forest,seven_class__all__random_forest,macro_f1,0.9772821799814663,0.962755476851897,0.9886492737390659,5000,seed,10
seven_class,all,random_forest,seven_class__all__random_forest,weighted_f1,0.9772821799814663,0.962755476851897,0.9886492737390657,5000,seed,10
seven_class,all,random_forest,seven_class__all__random_forest,mcc,0.9735681130294449,0.9570647125434132,0.9867795528070213,5000,seed,10
seven_class,application_qos,extra_trees,seven_class__application_qos__extra_trees,accuracy,0.2995798319327731,0.2773109243697479,0.3239495798319328,5000,seed,10
seven_class,application_qos,extra_trees,seven_class__application_qos__extra_trees,balanced_accuracy,0.29957983193277304,0.2773109243697479,0.32394957983193284,5000,seed,10
seven_class,application_qos,extra_trees,seven_class__application_qos__extra_trees,macro_f1,0.29249729768780985,0.2711021579152089,0.31606651003919467,5000,seed,10
seven_class,application_qos,extra_trees,seven_class__application_qos__extra_trees,weighted_f1,0.29249729768780985,0.271102157915209,0.3160665100391947,5000,seed,10
seven_class,application_qos,extra_trees,seven_class__application_qos__extra_trees,mcc,0.18301283979793312,0.15724226384111417,0.21182063636835094,5000,seed,10
seven_class,mac,extra_trees,seven_class__mac__extra_trees,accuracy,0.8579831932773109,0.8436974789915966,0.8701785714285712,5000,seed,10
seven_class,mac,extra_trees,seven_class__mac__extra_trees,balanced_accuracy,0.8579831932773109,0.8436974789915966,0.8701785714285714,5000,seed,10
seven_class,mac,extra_trees,seven_class__mac__extra_trees,macro_f1,0.8578406549809959,0.843938809777134,0.8700561707782571,5000,seed,10
seven_class,mac,extra_trees,seven_class__mac__extra_trees,weighted_f1,0.8578406549809958,0.843938809777134,0.8700561707782573,5000,seed,10
seven_class,mac,extra_trees,seven_class__mac__extra_trees,mcc,0.8343711257089621,0.8176966042991055,0.8487817174464114,5000,seed,10
seven_class,radio,extra_trees,seven_class__radio__extra_trees,accuracy,0.6676470588235294,0.6491596638655462,0.6861344537815126,5000,seed,10
seven_class,radio,extra_trees,seven_class__radio__extra_trees,balanced_accuracy,0.6676470588235295,0.6491596638655464,0.6861344537815126,5000,seed,10
seven_class,radio,extra_trees,seven_class__radio__extra_trees,macro_f1,0.6665801931626172,0.6486055896811556,0.6844506115630768,5000,seed,10
seven_class,radio,extra_trees,seven_class__radio__extra_trees,weighted_f1,0.6665801931626171,0.6486055896811556,0.6844506115630768,5000,seed,10
seven_class,radio,extra_trees,seven_class__radio__extra_trees,mcc,0.6123352453333168,0.5908698697951517,0.6339300617425967,5000,seed,10
seven_class,routing,extra_trees,seven_class__routing__extra_trees,accuracy,0.6411764705882353,0.6151260504201681,0.6659663865546218,5000,seed,10
seven_class,routing,extra_trees,seven_class__routing__extra_trees,balanced_accuracy,0.6411764705882353,0.615126050420168,0.6659663865546219,5000,seed,10
seven_class,routing,extra_trees,seven_class__routing__extra_trees,macro_f1,0.6291551780881713,0.6047648750098156,0.6516471766943436,5000,seed,10
seven_class,routing,extra_trees,seven_class__routing__extra_trees,weighted_f1,0.6291551780881712,0.6047648750098155,0.6516471766943436,5000,seed,10
seven_class,routing,extra_trees,seven_class__routing__extra_trees,mcc,0.5832382145806583,0.5521644931607754,0.6136765175490732,5000,seed,10
