task,feature_set,model,feature,mean_abs_shap,sd_abs_shap,min_abs_shap,max_abs_shap,folds,explained_samples
cause_family,all,random_forest,root_server_rx_delta,0.0005058933309032004,0.00020835014157048797,0.0003473955603538586,0.0008606502662558829,5,1000
cause_family,all,random_forest,root_server_tx_delta,0.0004890279236736846,0.0001774003439908231,0.00029909687690312254,0.0007038519845054885,5,1000
cause_family,all,random_forest,root_mac_acked_delta,0.00047872358867627403,0.00011402757482096715,0.0003510373875662867,0.0005994228530467551,5,1000
cause_family,all,random_forest,transaction_success_count,0.00035864034027650106,0.0001427166861752346,0.0002246746653069621,0.0005915787051557237,5,1000
cause_family,all,random_forest,uplink_success_count,0.0003448575975641418,0.0001222239856788632,0.00025605655126248944,0.0005506611252557492,5,1000
cause_family,all,random_forest,transaction_count,0.0003280087952608335,0.00012872969993428654,0.00020489828812059326,0.0005444832622662696,5,1000
cause_family,all,random_forest,client_energest_total_delta,0.00016714678015151215,9.908120165597577e-05,6.180407357363471e-05,0.00029288998668834275,5,1000
cause_family,all,random_forest,client_mac_valid_nodes,3.3816013000512053e-05,7.630179603327886e-06,2.3758616613995017e-05,4.211702589750493e-05,5,1000
cause_family,all,random_forest,parent_changes_delta,2.060219275685575e-05,1.816289629452148e-05,4.423382075557917e-06,5.1265157269383454e-05,5,1000
cause_family,all,random_forest,app_timeouts_delta,1.1019678085989764e-05,7.952129603832494e-06,2.8784244190510056e-19,2.141325047553213e-05,5,1000
cause_family,all,random_forest,client_mac_reset_nodes,9.806668206459881e-06,2.6609457411861237e-06,6.117877656435942e-06,1.3070108594968191e-05,5,1000
cause_family,all,random_forest,app_delivery_ratio,5.37634742993647e-06,8.09884832685593e-06,2.506331668582059e-19,1.928600415160319e-05,5,1000
cause_family,all,random_forest,uplink_delivery_ratio,6.744349573073956e-07,1.5080824109407435e-06,1.3313699157982562e-19,3.3721747865356157e-06,5,1000
cause_family,all,random_forest,queue_drops_delta,3.7779985465909053e-07,8.447861569067617e-07,7.586671173579822e-20,1.8889992732945488e-06,5,1000
