task,feature_set,model,output_class,feature,mean_abs_shap,sd_abs_shap,folds,explained_samples
cause_family,all,random_forest,impairment,app_timeouts_delta,1.3927262188316807e-05,1.1119186882861994e-05,5,1000
cause_family,all,random_forest,impairment,app_delivery_ratio,5.240481807801116e-06,8.091862532084482e-06,5,1000
cause_family,all,random_forest,impairment,uplink_delivery_ratio,1.011652435961229e-06,2.2621236164106704e-06,5,1000
cause_family,all,random_forest,impairment,queue_drops_delta,6.980990817928764e-08,1.5609970019092287e-07,5,1000
cause_family,all,random_forest,impairment,mean_neighbors,0.0,0.0,5,1000
cause_family,all,random_forest,impairment,reachable_fraction,0.0,0.0,5,1000
cause_family,all,random_forest,impairment,root_mean_rssi,0.0,0.0,5,1000
cause_family,all,random_forest,impairment,route_miss_delta,0.0,0.0,5,1000
cause_family,all,random_forest,normal,client_energest_listen_delta,0.07295155225927749,0.004306705881793339,5,1000
cause_family,all,random_forest,normal,client_energest_tx_delta,0.07047186297873571,0.0035859483190138234,5,1000
cause_family,all,random_forest,normal,client_radio_tx_fraction,0.06601737392267484,0.003086406226243064,5,1000
cause_family,all,random_forest,normal,mean_rank,0.06383202724633061,0.00265881362464974,5,1000
cause_family,all,random_forest,normal,client_mac_rx_delta,0.06100052126596265,0.0013453219667548576,5,1000
cause_family,all,random_forest,normal,mean_etx_x100,0.047126005245288295,0.0029485324891988384,5,1000
cause_family,all,random_forest,normal,root_mean_etx_x100,0.03321356624096287,0.002767177537351602,5,1000
cause_family,all,random_forest,normal,p95_etx_x100,0.021174100825630593,0.002039019889402929,5,1000
cause_family,all,random_forest,normal,root_mac_rx_delta,0.018288990887083197,0.001119759263963106,5,1000
cause_family,all,random_forest,normal,std_etx_x100,0.012879395517933268,0.003157253866959256,5,1000
cause_family,all,random_forest,normal,root_energest_tx_delta,0.010002443704200233,0.0009910461486459105,5,1000
cause_family,all,random_forest,normal,client_mac_tx_attempts_delta,0.008881364164696329,0.001454469597742577,5,1000
cause_family,all,random_forest,normal,client_mac_ack_ratio,0.008640103326927228,0.0014192654377206855,5,1000
cause_family,all,random_forest,normal,root_radio_tx_fraction,0.007571660944836479,0.00028010567220743956,5,1000
cause_family,all,random_forest,normal,mean_rssi,0.006888387654688824,0.00844106152951542,5,1000
cause_family,all,random_forest,normal,client_mac_acked_delta,0.0063823898356871606,0.0006417237853894849,5,1000
cause_family,all,random_forest,normal,root_mac_ack_ratio,0.004540645371045954,0.0006338348428760719,5,1000
cause_family,all,random_forest,normal,root_mac_tx_attempts_delta,0.002745559746379906,0.0002632329737615483,5,1000
cause_family,all,random_forest,normal,mean_rtt_ms,0.0017603924478520351,0.0005154948014534714,5,1000
cause_family,all,random_forest,normal,app_rx_delta,0.0013839412169759512,0.00016534921616358008,5,1000
cause_family,all,random_forest,normal,median_rtt_ms,0.001335668688954485,0.00038439075421452446,5,1000
cause_family,all,random_forest,normal,p95_rtt_ms,0.000966328142272466,0.00031393449288323366,5,1000
cause_family,all,random_forest,normal,app_tx_delta,0.0009536597159514077,0.0003370779086523065,5,1000
cause_family,all,random_forest,normal,max_rtt_ms,0.000944465343624459,0.0002514466853689886,5,1000
cause_family,all,random_forest,normal,std_rtt_ms,0.0008312617337313821,0.000100354901913053,5,1000
cause_family,all,random_forest,normal,root_server_rx_delta,0.0007288360424150764,0.0003157076952700563,5,1000
cause_family,all,random_forest,normal,root_server_tx_delta,0.0006996939298027973,0.000264329357433458,5,1000
cause_family,all,random_forest,normal,root_mac_acked_delta,0.0006867662177180199,0.00017377116413467932,5,1000
cause_family,all,random_forest,normal,transaction_success_count,0.0004882839600788921,0.0002196873567804855,5,1000
cause_family,all,random_forest,normal,uplink_success_count,0.0004705264288798462,0.00018794545578020445,5,1000
cause_family,all,random_forest,normal,transaction_count,0.0004574958257347837,0.00019093278953081708,5,1000
cause_family,all,random_forest,normal,client_energest_total_delta,0.00022605126055243882,0.00015440386418044718,5,1000
cause_family,all,random_forest,normal,app_timeouts_delta,1.600265626616915e-05,1.1570502537125089e-05,5,1000
cause_family,all,random_forest,normal,client_mac_valid_nodes,1.3267362040412784e-05,1.5499192986922937e-06,5,1000
cause_family,all,random_forest,normal,app_delivery_ratio,7.423272978046002e-06,1.2331240777276038e-05,5,1000
cause_family,all,random_forest,normal,parent_changes_delta,1.4664398080684132e-06,2.128327248155077e-06,5,1000
cause_family,all,random_forest,normal,uplink_delivery_ratio,1.0116524359606918e-06,2.2621236164113146e-06,5,1000
cause_family,all,random_forest,normal,queue_drops_delta,5.666997819885011e-07,1.2671792353603182e-06,5,1000
cause_family,all,random_forest,normal,client_mac_reset_nodes,3.6846900154402016e-08,8.239217350539041e-08,5,1000
cause_family,all,random_forest,normal,mean_neighbors,0.0,0.0,5,1000
cause_family,all,random_forest,normal,reachable_fraction,0.0,0.0,5,1000
cause_family,all,random_forest,normal,root_mean_rssi,0.0,0.0,5,1000
cause_family,all,random_forest,normal,route_miss_delta,0.0,0.0,5,1000
impairment_severity,routing,extra_trees,Clean,mean_rank,0.120795030586581,0.0034193932847332354,5,1000
impairment_severity,routing,extra_trees,Clean,mean_etx_x100,0.10089646577596283,0.0023804012871963577,5,1000
impairment_severity,routing,extra_trees,Clean,root_mean_etx_x100,0.05581224564349706,0.0030930608320587907,5,1000
impairment_severity,routing,extra_trees,Clean,p95_etx_x100,0.051317113518167125,0.00234152738903215,5,1000
impairment_severity,routing,extra_trees,Clean,std_etx_x100,0.03429133699410646,0.0005820169489189098,5,1000
impairment_severity,routing,extra_trees,Clean,mean_rssi,0.01319625812941872,0.0038971592572353765,5,1000
impairment_severity,routing,extra_trees,Clean,parent_changes_delta,0.00023852530120867303,2.4599395426647856e-05,5,1000
impairment_severity,routing,extra_trees,Clean,mean_neighbors,0.0,0.0,5,1000
impairment_severity,routing,extra_trees,Clean,root_mean_rssi,0.0,0.0,5,1000
impairment_severity,routing,extra_trees,RX60,mean_etx_x100,0.09466789465695653,0.006979944911349987,5,1000
impairment_severity,routing,extra_trees,RX60,mean_rank,0.0932702479094186,0.01539254492916932,5,1000
impairment_severity,routing,extra_trees,RX60,root_mean_etx_x100,0.08659805634621705,0.008149985470276806,5,1000
impairment_severity,routing,extra_trees,RX60,mean_rssi,0.04366297892865751,0.012321936059567136,5,1000
impairment_severity,routing,extra_trees,RX60,p95_etx_x100,0.04189380265937409,0.0030257508088208105,5,1000
