task,feature_set,model,fold,train_seeds,test_seeds,train_rows,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,mcc,roc_auc,pr_auc,roc_auc_ovr_macro
binary_attack,all,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binary_attack,all,extra_trees,pooled,,1001-1010,,2380,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
cause_family,application_qos,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,0.6638655462184874,0.5424836601307189,0.5378538631808433,0.6395783435701752,0.593591344153142,0.5424836601307189,0.43580318855830974,,,0.7678056516724338
cause_family,application_qos,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",1904,476,0.6512605042016807,0.5163398692810458,0.49644854677261147,0.6176369439572131,0.5139156740404613,0.5163398692810458,0.40754252116487516,,,0.7759515570934257
cause_family,application_qos,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",1904,476,0.6134453781512605,0.49346405228758167,0.4822576395885221,0.5875780041462818,0.5066947158010123,0.49346405228758167,0.3434178450130358,,,0.752916546520569
cause_family,application_qos,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,0.6092436974789915,0.49673202614379086,0.4913877471129379,0.5878282023320192,0.5269142424939526,0.49673202614379086,0.34063299619968573,,,0.7265324634755862
cause_family,application_qos,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,0.6050420168067226,0.4803921568627451,0.4633503927886944,0.5755681520728593,0.48214403921260734,0.4803921568627451,0.33128908541361296,,,0.6993403979238754
cause_family,application_qos,extra_trees,pooled,,1001-1010,,2380,0.6285714285714286,0.5058823529411764,0.4948866436822906,0.6021284761957858,0.5270599170099237,0.5058823529411764,0.37128469065708225,,,0.7440099961553249
cause_family,routing,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,0.8487394957983193,0.6960784313725491,0.6913475177304965,0.8220060790273557,0.7304565353345841,0.6960784313725491,0.7535321776008325,,,0.9067696318723568
cause_family,routing,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",1904,476,0.8382352941176471,0.6846405228758169,0.6788314010947136,0.8106714287366815,0.7225516029863855,0.6846405228758169,0.7374092262939552,,,0.9070489715494041
cause_family,routing,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",1904,476,0.8550420168067226,0.7336601307189543,0.7447978893255506,0.8375972862757078,0.7999490115432789,0.7336601307189543,0.7611302329011062,,,0.943251994425221
cause_family,routing,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,0.8382352941176471,0.6748366013071895,0.6612894096337806,0.8062731970016738,0.6864559688027473,0.6748366013071895,0.7362451750044513,,,0.9230344098423683
cause_family,routing,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,0.8403361344537815,0.6895424836601306,0.6846518494974444,0.8154654854363311,0.7129650353214846,0.6895424836601306,0.738017947974544,,,0.9168829296424451
cause_family,routing,extra_trees,pooled,,1001-1010,,2380,0.8441176470588235,0.695751633986928,0.6930535826201529,0.818736161379618,0.734092826924739,0.695751633986928,0.7449808938778605,,,0.9194272635524797
cause_family,mac,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,0.9831932773109243,0.9738562091503269,0.9738562091503269,0.9831932773109243,0.9738562091503269,0.9738562091503269,0.9725490196078431,,,0.9946805315263361
cause_family,mac,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",1904,476,0.9663865546218487,0.9477124183006537,0.9477124183006537,0.9663865546218487,0.9477124183006537,0.9477124183006537,0.9450980392156862,,,0.9877420943867744
cause_family,mac,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",1904,476,0.976890756302521,0.9526143790849674,0.962740886024719,0.9764586585544837,0.9748530287726931,0.9526143790849674,0.962361772668057,,,0.9839995434448289
cause_family,mac,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,0.9537815126050421,0.9248366013071895,0.9273874529790073,0.9535493265380414,0.9300774737667942,0.9248366013071895,0.924390037225717,,,0.9909560024990388
cause_family,mac,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,0.9516806722689075,0.9232026143790849,0.9244649702677412,0.9515607818786302,0.9257614367188447,0.9232026143790849,0.9210080772419241,,,0.9787521626297577
cause_family,mac,extra_trees,pooled,,1001-1010,,2380,0.9663865546218487,0.9444444444444445,0.9471908748938236,0.9662176920276665,0.9500833578503481,0.9444444444444445,0.9450193579289476,,,0.9875335207612457
cause_family,radio,extra_trees,1,"1002,1003,1004,1005,1007,1008,1009,1010","1001,1006",1904,476,0.884453781512605,0.8643790849673202,0.8670527879091176,0.8845049703820851,0.8700288600288602,0.8643790849673202,0.8110696696796367,,,0.9672391628219916
cause_family,radio,extra_trees,2,"1001,1003,1004,1005,1006,1008,1009,1010","1002,1007",1904,476,0.8928571428571429,0.8676470588235294,0.8700900090651477,0.8926743613353605,0.872664393795176,0.8676470588235294,0.8246816538267688,,,0.9817738369857748
cause_family,radio,extra_trees,3,"1001,1002,1004,1005,1006,1007,1009,1010","1003,1008",1904,476,0.8928571428571429,0.880718954248366,0.873366950675245,0.8935241076086147,0.8670386804715163,0.880718954248366,0.8261964701442341,,,0.9773044021530181
cause_family,radio,extra_trees,4,"1001,1002,1003,1005,1006,1007,1008,1010","1004,1009",1904,476,0.8886554621848739,0.8643790849673203,0.860633285139443,0.8886456728771255,0.8574501233878551,0.8643790849673203,0.8189617372588301,,,0.9666113994617455
cause_family,radio,extra_trees,5,"1001,1002,1003,1004,1006,1007,1008,1009","1005,1010",1904,476,0.8508403361344538,0.8415032679738562,0.8302975448592399,0.8507766463461164,0.8221344300551722,0.8415032679738562,0.7595715861104672,,,0.954362504805844
