feature,importance,task,feature_set,model,fold
numeric__root_mean_rssi,0.0,binary_attack,all,extra_trees,2
numeric__mean_neighbors,0.0,binary_attack,all,extra_trees,2
numeric__client_mac_rx_delta,0.1628567092258924,binary_attack,all,extra_trees,3
numeric__client_energest_tx_delta,0.09283053613306769,binary_attack,all,extra_trees,3
numeric__client_radio_tx_fraction,0.08632246322673377,binary_attack,all,extra_trees,3
numeric__client_energest_listen_delta,0.08578066035844442,binary_attack,all,extra_trees,3
numeric__mean_rank,0.07088584212197377,binary_attack,all,extra_trees,3
numeric__root_mac_rx_delta,0.07067610073976346,binary_attack,all,extra_trees,3
numeric__mean_etx_x100,0.05880917376331975,binary_attack,all,extra_trees,3
numeric__client_mac_ack_ratio,0.05669907022206457,binary_attack,all,extra_trees,3
numeric__p95_etx_x100,0.046339656623650444,binary_attack,all,extra_trees,3
numeric__client_mac_acked_delta,0.043525615544835375,binary_attack,all,extra_trees,3
numeric__root_mean_etx_x100,0.04100068480746998,binary_attack,all,extra_trees,3
numeric__client_mac_tx_attempts_delta,0.03897575903886402,binary_attack,all,extra_trees,3
numeric__root_mac_ack_ratio,0.030874016668462553,binary_attack,all,extra_trees,3
numeric__std_etx_x100,0.029563503537828106,binary_attack,all,extra_trees,3
numeric__root_mac_tx_attempts_delta,0.017160438482330297,binary_attack,all,extra_trees,3
numeric__root_radio_tx_fraction,0.012188821758626367,binary_attack,all,extra_trees,3
numeric__root_energest_tx_delta,0.011849283667242576,binary_attack,all,extra_trees,3
numeric__mean_rssi,0.009911764236328417,binary_attack,all,extra_trees,3
numeric__mean_rtt_ms,0.008427089468842497,binary_attack,all,extra_trees,3
numeric__p95_rtt_ms,0.003744662360093988,binary_attack,all,extra_trees,3
numeric__median_rtt_ms,0.0033398235957439325,binary_attack,all,extra_trees,3
numeric__std_rtt_ms,0.0032496966170196184,binary_attack,all,extra_trees,3
numeric__max_rtt_ms,0.0028281864197457138,binary_attack,all,extra_trees,3
numeric__app_rx_delta,0.001660883488225042,binary_attack,all,extra_trees,3
numeric__app_tx_delta,0.0016605655020076955,binary_attack,all,extra_trees,3
numeric__root_server_rx_delta,0.001465261678766422,binary_attack,all,extra_trees,3
numeric__root_mac_acked_delta,0.0013689898190239747,binary_attack,all,extra_trees,3
numeric__root_server_tx_delta,0.0012401039102960902,binary_attack,all,extra_trees,3
numeric__uplink_success_count,0.001179528165514493,binary_attack,all,extra_trees,3
numeric__transaction_success_count,0.001168925691277743,binary_attack,all,extra_trees,3
numeric__transaction_count,0.0010218104716578687,binary_attack,all,extra_trees,3
numeric__client_energest_total_delta,0.0005273859479087345,binary_attack,all,extra_trees,3
numeric__client_mac_reset_nodes,0.00031002909773378,binary_attack,all,extra_trees,3
numeric__client_mac_valid_nodes,0.0002241771151583653,binary_attack,all,extra_trees,3
numeric__parent_changes_delta,0.0001242419006988526,binary_attack,all,extra_trees,3
numeric__app_timeouts_delta,9.536248946296332e-05,binary_attack,all,extra_trees,3
numeric__app_delivery_ratio,6.61949075855662e-05,binary_attack,all,extra_trees,3
numeric__queue_drops_delta,2.434958148713347e-05,binary_attack,all,extra_trees,3
numeric__uplink_delivery_ratio,2.263161485157494e-05,binary_attack,all,extra_trees,3
numeric__route_miss_delta,0.0,binary_attack,all,extra_trees,3
numeric__reachable_fraction,0.0,binary_attack,all,extra_trees,3
numeric__root_mean_rssi,0.0,binary_attack,all,extra_trees,3
numeric__mean_neighbors,0.0,binary_attack,all,extra_trees,3
numeric__client_mac_rx_delta,0.17010647030188292,binary_attack,all,extra_trees,4
numeric__client_radio_tx_fraction,0.08848801724301425,binary_attack,all,extra_trees,4
numeric__client_energest_tx_delta,0.08765722129466798,binary_attack,all,extra_trees,4
numeric__client_energest_listen_delta,0.08684813694387823,binary_attack,all,extra_trees,4
numeric__root_mac_rx_delta,0.07199005943515384,binary_attack,all,extra_trees,4
